dataset;ranking;value
amazon-apps.csv;MostPopular;5
amazon-automotive.csv;MostPopular;5
amazon-baby.csv;BPRMF;5
amazon-beauty.csv;MostPopular;5
amazon-cd.csv;MostPopular;5
amazon-clothes.csv;MostPopular;5
amazon-digital-music.csv;MostPopular;5
amazon-food.csv;MostPopular;5
amazon-games.csv;MostPopular;5
amazon-garden.csv;MostPopular;5
amazon-health.csv;MostPopular;5
amazon-home.csv;MostPopular;5
amazon-instant-video.csv;MostPopular;5
amazon-instruments.csv;MostPopular;5
amazon-kindle.csv;MostPopular;5
amazon-movies.csv;MostPopular;5
amazon-office.csv;MostPopular;5
amazon-pet-supplies.csv;MostPopular;5
amazon-phones.csv;MostPopular;5
amazon-sports.csv;MostPopular;5
amazon-tools.csv;MostPopular;5
amazon-toys.csv;MostPopular;5
bookcrossing.csv;MostPopular;5
flixter.csv;BPRMF;5
jester1.csv;MostPopular;5
jester2.csv;MostPopular;5
jester3.csv;MostPopular;5
movielens100k.csv;WRMF;5
movielens10m.csv;WRMF;5
movielens1m.csv;WRMF;5
movielens20m.csv;WRMF;5
movielens_latest.csv;WRMF;5
movietweetings_latest.csv;WRMF;5
movietweetings_recsys2014.csv;MostPopular;5
tripadvisor.csv;BPRMF;5
yahoo-movies.csv;WRMF;5
yahoo-music.csv;WRMF;5
yelp.csv;WRMF;5
amazon-apps.csv;BPRMF;4
amazon-automotive.csv;BPRMF;4
amazon-baby.csv;SoftMarginRankingMF;4
amazon-beauty.csv;BPRMF;4
amazon-cd.csv;BPRMF;4
amazon-clothes.csv;BPRMF;4
amazon-digital-music.csv;BPRMF;4
amazon-food.csv;BPRMF;4
amazon-games.csv;BPRMF;4
amazon-garden.csv;BPRMF;4
amazon-health.csv;BPRMF;4
amazon-home.csv;BPRMF;4
amazon-instant-video.csv;BPRMF;4
amazon-instruments.csv;BPRMF;4
amazon-kindle.csv;BPRMF;4
amazon-movies.csv;WRMF;4
amazon-office.csv;BPRMF;4
amazon-pet-supplies.csv;BPRMF;4
amazon-phones.csv;BPRMF;4
amazon-sports.csv;BPRMF;4
amazon-tools.csv;BPRMF;4
amazon-toys.csv;BPRMF;4
bookcrossing.csv;BPRMF;4
flixter.csv;WRMF;4
jester1.csv;WRMF;4
jester2.csv;WRMF;4
jester3.csv;BPRMF;4
movielens100k.csv;BPRMF;4
movielens10m.csv;WeightedBPRMF;4
movielens1m.csv;BPRMF;4
movielens20m.csv;BPRMF;4
movielens_latest.csv;BPRMF;4
movietweetings_latest.csv;MostPopular;4
movietweetings_recsys2014.csv;BPRMF;4
tripadvisor.csv;WeightedBPRMF;4
yahoo-movies.csv;BPRMF;4
yahoo-music.csv;WeightedBPRMF;4
yelp.csv;MostPopular;4
amazon-apps.csv;SoftMarginRankingMF;3
amazon-automotive.csv;SoftMarginRankingMF;3
amazon-baby.csv;WRMF;3
amazon-beauty.csv;SoftMarginRankingMF;3
amazon-cd.csv;WRMF;3
amazon-clothes.csv;SoftMarginRankingMF;3
amazon-digital-music.csv;WRMF;3
amazon-food.csv;SoftMarginRankingMF;3
amazon-games.csv;SoftMarginRankingMF;3
amazon-garden.csv;SoftMarginRankingMF;3
amazon-health.csv;SoftMarginRankingMF;3
amazon-home.csv;SoftMarginRankingMF;3
amazon-instant-video.csv;SoftMarginRankingMF;3
amazon-instruments.csv;SoftMarginRankingMF;3
amazon-kindle.csv;SoftMarginRankingMF;3
amazon-movies.csv;BPRMF;3
amazon-office.csv;SoftMarginRankingMF;3
amazon-pet-supplies.csv;SoftMarginRankingMF;3
amazon-phones.csv;SoftMarginRankingMF;3
amazon-sports.csv;SoftMarginRankingMF;3
amazon-tools.csv;SoftMarginRankingMF;3
amazon-toys.csv;SoftMarginRankingMF;3
bookcrossing.csv;WRMF;3
flixter.csv;MostPopular;3
jester1.csv;BPRMF;3
jester2.csv;BPRMF;3
jester3.csv;WRMF;3
movielens100k.csv;WeightedBPRMF;3
movielens10m.csv;BPRMF;3
movielens1m.csv;WeightedBPRMF;3
movielens20m.csv;MostPopular;3
movielens_latest.csv;MostPopular;3
movietweetings_latest.csv;BPRMF;3
movietweetings_recsys2014.csv;SoftMarginRankingMF;3
tripadvisor.csv;MostPopular;3
yahoo-movies.csv;MostPopular;3
yahoo-music.csv;BPRMF;3
yelp.csv;BPRMF;3
amazon-apps.csv;WRMF;2
amazon-automotive.csv;WRMF;2
amazon-baby.csv;WeightedBPRMF;2
amazon-beauty.csv;WRMF;2
amazon-cd.csv;SoftMarginRankingMF;2
amazon-clothes.csv;WRMF;2
amazon-digital-music.csv;SoftMarginRankingMF;2
amazon-food.csv;WRMF;2
amazon-games.csv;WRMF;2
amazon-garden.csv;WRMF;2
amazon-health.csv;WRMF;2
amazon-home.csv;WRMF;2
amazon-instant-video.csv;WRMF;2
amazon-instruments.csv;WRMF;2
amazon-kindle.csv;WRMF;2
amazon-movies.csv;WeightedBPRMF;2
amazon-office.csv;WRMF;2
amazon-pet-supplies.csv;WRMF;2
amazon-phones.csv;WRMF;2
amazon-sports.csv;WRMF;2
amazon-tools.csv;WRMF;2
amazon-toys.csv;WRMF;2
bookcrossing.csv;SoftMarginRankingMF;2
flixter.csv;WeightedBPRMF;2
jester1.csv;SoftMarginRankingMF;2
jester2.csv;SoftMarginRankingMF;2
jester3.csv;SoftMarginRankingMF;2
movielens100k.csv;SoftMarginRankingMF;2
movielens10m.csv;MostPopular;2
movielens1m.csv;SoftMarginRankingMF;2
movielens20m.csv;WeightedBPRMF;2
movielens_latest.csv;WeightedBPRMF;2
movietweetings_latest.csv;WeightedBPRMF;2
movietweetings_recsys2014.csv;WeightedBPRMF;2
tripadvisor.csv;SoftMarginRankingMF;2
yahoo-movies.csv;WeightedBPRMF;2
yahoo-music.csv;MostPopular;2
yelp.csv;WeightedBPRMF;2
amazon-apps.csv;WeightedBPRMF;1
amazon-automotive.csv;WeightedBPRMF;1
amazon-beauty.csv;WeightedBPRMF;1
amazon-cd.csv;WeightedBPRMF;1
amazon-clothes.csv;WeightedBPRMF;1
amazon-digital-music.csv;WeightedBPRMF;1
amazon-food.csv;WeightedBPRMF;1
amazon-games.csv;WeightedBPRMF;1
amazon-garden.csv;WeightedBPRMF;1
amazon-health.csv;WeightedBPRMF;1
amazon-home.csv;WeightedBPRMF;1
amazon-instant-video.csv;WeightedBPRMF;1
amazon-instruments.csv;WeightedBPRMF;1
amazon-kindle.csv;WeightedBPRMF;1
amazon-movies.csv;SoftMarginRankingMF;1
amazon-office.csv;WeightedBPRMF;1
amazon-pet-supplies.csv;WeightedBPRMF;1
amazon-phones.csv;WeightedBPRMF;1
amazon-sports.csv;WeightedBPRMF;1
amazon-tools.csv;WeightedBPRMF;1
amazon-toys.csv;WeightedBPRMF;1
bookcrossing.csv;WeightedBPRMF;1
flixter.csv;SoftMarginRankingMF;1
jester3.csv;WeightedBPRMF;1
movielens100k.csv;MostPopular;1
movielens10m.csv;SoftMarginRankingMF;1
movielens1m.csv;MostPopular;1
movielens20m.csv;SoftMarginRankingMF;1
movielens_latest.csv;SoftMarginRankingMF;1
movietweetings_latest.csv;SoftMarginRankingMF;1
yahoo-movies.csv;SoftMarginRankingMF;1
yahoo-music.csv;SoftMarginRankingMF;1
yelp.csv;SoftMarginRankingMF;1
